Epoch, Training Loss, Validation Loss, Validation Error (%)
71, 0.0110, 0.2464, 6.21
72, 0.0105, 0.2529, 6.62
73, 0.0094, 0.2344, 6.11
74, 0.0096, 0.2488, 6.52
75, 0.0079, 0.2414, 6.24
76, 0.0099, 0.2482, 6.40
77, 0.0082, 0.2420, 6.27
78, 0.0092, 0.2422, 6.43
79, 0.0082, 0.2331, 6.24
80, 0.0079, 0.2527, 6.46
81, 0.0074, 0.2418, 6.40
82, 0.0078, 0.2569, 6.79
83, 0.0078, 0.2587, 6.56
84, 0.0073, 0.2419, 6.13
85, 0.0076, 0.2395, 6.14
86, 0.0087, 0.2549, 6.46
87, 0.0090, 0.2564, 6.42
88, 0.0084, 0.2418, 6.27
89, 0.0072, 0.2490, 6.25
90, 0.0072, 0.2521, 6.33
91, 0.0068, 0.2530, 6.49
92, 0.0073, 0.2480, 6.38
93, 0.0076, 0.2649, 6.66
94, 0.0087, 0.2523, 6.45
95, 0.0078, 0.2547, 6.47
96, 0.0086, 0.2594, 6.66
97, 0.0080, 0.2592, 6.53
98, 0.0095, 0.2498, 6.55
99, 0.0092, 0.2711, 7.14
100, 0.0096, 0.2490, 6.69
101, 0.0064, 0.2390, 6.30
102, 0.0051, 0.2310, 5.91
103, 0.0043, 0.2324, 5.86
104, 0.0042, 0.2289, 6.19
105, 0.0037, 0.2325, 6.05
106, 0.0034, 0.2375, 6.09
107, 0.0034, 0.2357, 6.04
108, 0.0032, 0.2322, 6.06
109, 0.0031, 0.2286, 5.92
110, 0.0029, 0.2293, 5.69
111, 0.0028, 0.2337, 6.16
112, 0.0028, 0.2300, 6.09
113, 0.0026, 0.2276, 5.87
114, 0.0028, 0.2261, 5.89
115, 0.0028, 0.2296, 5.83
116, 0.0027, 0.2362, 6.19
117, 0.0026, 0.2244, 5.72
118, 0.0025, 0.2242, 5.68
119, 0.0027, 0.2279, 5.85
120, 0.0025, 0.2269, 5.54
121, 0.0024, 0.2231, 5.67
122, 0.0026, 0.2310, 5.83
123, 0.0024, 0.2383, 5.94
124, 0.0026, 0.2304, 6.05
125, 0.0026, 0.2185, 5.75
126, 0.0023, 0.2351, 5.96
127, 0.0023, 0.2296, 5.82
128, 0.0022, 0.2380, 5.63
129, 0.0023, 0.2300, 5.68
130, 0.0022, 0.2250, 5.71
131, 0.0021, 0.2250, 5.67
132, 0.0022, 0.2285, 5.81
133, 0.0021, 0.2283, 5.88
134, 0.0022, 0.2314, 5.97
135, 0.0022, 0.2272, 5.68
136, 0.0022, 0.2272, 5.74
137, 0.0022, 0.2341, 5.85
138, 0.0023, 0.2339, 5.96
139, 0.0021, 0.2310, 5.91
140, 0.0019, 0.2352, 6.13
141, 0.0021, 0.2327, 5.89
142, 0.0020, 0.2315, 5.94
143, 0.0020, 0.2349, 6.09
144, 0.0020, 0.2260, 5.55
145, 0.0021, 0.2292, 5.78
146, 0.0021, 0.2298, 5.93
147, 0.0022, 0.2323, 5.83
148, 0.0021, 0.2269, 5.70
149, 0.0020, 0.2251, 5.68
150, 0.0020, 0.2299, 6.02
