Epoch, Training Loss, Validation Loss, Validation Error (%)
1, 1.9830, 1.6345, 61.95
2, 1.4791, 1.4148, 52.53
3, 1.2222, 1.2291, 44.17
4, 1.0201, 1.0419, 36.86
5, 0.8867, 1.0747, 36.47
6, 0.7971, 0.9139, 31.86
7, 0.7188, 0.7816, 27.41
8, 0.6328, 0.7091, 24.86
9, 0.5701, 0.6707, 22.88
10, 0.5251, 0.5745, 19.82
11, 0.4866, 0.6429, 21.32
12, 0.4561, 0.6814, 23.02
13, 0.4321, 0.5928, 20.47
14, 0.4049, 0.5727, 19.39
15, 0.3885, 0.6680, 21.52
16, 0.3687, 0.6197, 21.02
17, 0.3589, 0.4723, 16.06
18, 0.3424, 0.4999, 17.08
19, 0.3365, 0.6205, 20.17
20, 0.3291, 0.4829, 16.33
21, 0.3142, 0.5383, 17.87
22, 0.3117, 0.7386, 23.42
23, 0.3023, 0.4519, 15.21
24, 0.3035, 0.4762, 16.48
25, 0.2938, 0.4567, 15.22
26, 0.2845, 0.4694, 15.50
27, 0.2794, 0.4661, 15.71
28, 0.2731, 0.5513, 17.42
29, 0.2752, 0.4425, 14.49
30, 0.2685, 0.4177, 13.71
31, 0.2622, 0.5079, 16.70
32, 0.2641, 0.5434, 17.71
33, 0.2545, 0.4973, 16.66
34, 0.2581, 0.4352, 14.74
35, 0.2552, 0.4848, 15.54
36, 0.2502, 0.5273, 17.23
37, 0.2495, 0.5286, 16.67
38, 0.2381, 0.4535, 14.73
39, 0.2471, 0.4830, 15.42
40, 0.2366, 0.4426, 14.16
41, 0.2328, 0.4787, 16.04
42, 0.2393, 0.3838, 12.20
43, 0.2278, 0.5011, 16.08
44, 0.2304, 0.4685, 15.40
45, 0.2274, 0.4125, 13.75
46, 0.2275, 0.3998, 12.75
47, 0.2330, 0.4637, 15.76
48, 0.2228, 0.4882, 16.20
49, 0.2177, 0.4360, 14.73
50, 0.2265, 0.5258, 16.39
51, 0.1153, 0.2155, 7.20
52, 0.0764, 0.2152, 6.99
53, 0.0600, 0.2098, 6.53
54, 0.0529, 0.2089, 6.62
55, 0.0470, 0.2147, 6.78
56, 0.0416, 0.2179, 6.63
57, 0.0352, 0.2107, 6.55
58, 0.0330, 0.2178, 6.73
59, 0.0279, 0.2214, 6.65
60, 0.0255, 0.2180, 6.63
61, 0.0238, 0.2239, 6.60
62, 0.0236, 0.2254, 6.48
63, 0.0210, 0.2204, 6.49
64, 0.0184, 0.2213, 6.51
65, 0.0171, 0.2354, 6.47
66, 0.0152, 0.2356, 6.40
67, 0.0132, 0.2416, 6.59
68, 0.0132, 0.2308, 6.44
69, 0.0130, 0.2325, 6.42
70, 0.0120, 0.2413, 6.43
